phase,bag_num,unit_or_mayberry_stake,desert_source,mayberry_treatment,cultivation_f_g_c,cultivation_shade,cultivation_water,cultivation_substrate,cultivation_inoc_status,sod_section_num,lab_replicate,property,date_sampled,cores,slake,resurrect_block,resurrect_sample_provenance,resurrect_desert_treatment,date_eps,eps_extractor,eps_timepoint,eps_timepoint_months,lb_eps,tb_eps,g_eps,total_eps,chla,old_cyano_qPCR,Note
greenhouse,,53,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,189.280,1268.990,347.620,1805.880,4.863,,
greenhouse,,53,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,202.320,22.950,333.210,558.480,4.071,,
greenhouse,,53,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,123.900,65.490,352.540,541.940,2.942,,
greenhouse,,53,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,407.240,12.250,149.570,569.070,0.952,,
greenhouse,,53,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,75.720,20.120,112.220,208.070,1.729,,
greenhouse,,53,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,39.910,10.790,110.500,161.200,0.889,,
greenhouse,,54,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,75.870,-24.940,175.620,226.560,2.691,,
greenhouse,,54,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,65.600,-26.270,140.480,179.820,2.815,,
greenhouse,,54,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,95.280,25.830,228.500,349.610,3.348,,
greenhouse,,54,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,81.840,28.170,74.090,184.100,8.211,,
greenhouse,,54,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,122.360,28.850,65.850,217.070,6.424,,
greenhouse,,54,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,77.990,35.940,97.750,211.690,9.563,,
greenhouse,,55,Mojave,NA,,S,1,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,41.270,32.590,17.740,91.600,0.615,,
greenhouse,,55,Mojave,NA,,S,1,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,42.117,32.913,17.991,93.020,0.090,,
greenhouse,,58,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,203.750,663.880,389.590,1257.220,2.357,,
greenhouse,,58,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,276.630,0.910,237.650,515.190,2.494,,
greenhouse,,58,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,235.130,238.490,407.850,881.470,2.547,,
greenhouse,,58,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,60.430,42.640,40.620,143.690,1.432,,
greenhouse,,58,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,62.610,22.750,98.190,183.550,1.256,,
greenhouse,,58,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,67.370,18.460,70.370,156.200,1.133,,
greenhouse,,59,CP,NA,,C,1,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,63.510,0.530,11.150,75.200,0.060,,
greenhouse,,59,CP,NA,,C,1,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,43.840,6.020,19.100,68.960,0.137,,
greenhouse,,60,CP,NA,,C,3,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,33.790,4.200,33.150,71.140,0.610,488000,
greenhouse,,60,CP,NA,,C,3,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,47.950,4.110,18.430,70.500,0.044,,
greenhouse,,60,CP,NA,,C,3,,C,NA,,NA,,NA,NA,,,,7/20/22,SDJ,post,4,42.350,108.200,125.470,276.010,0.610,,ND's chla value
greenhouse,,62,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,223.400,41.920,395.810,661.130,4.647,,
greenhouse,,62,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,213.680,20.350,221.220,455.240,5.472,,
greenhouse,,62,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,214.630,24.390,320.960,559.980,4.570,,
greenhouse,,62,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,6/29/22,SDJ,initial,0,64.330,178.270,286.410,529.010,NA,,no chla value available
greenhouse,,62,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,7/20/22,SDJ,post,4,119.780,192.800,254.720,567.300,4.896,,average ND's chla value
greenhouse,,63,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,120.960,33.400,345.970,500.330,10.804,4337500,
greenhouse,,63,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,166.330,4.890,398.920,570.140,11.517,4337500,
greenhouse,,63,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,135.190,-5.110,57.420,187.490,12.808,4337500,
greenhouse,,63,Mojave,NA,,C,3,,I,NA,,NA,,,,,,,6/29/22,SDJ,initial,0,95.370,255.160,390.170,740.700,NA,2745360,no chla value available
greenhouse,,63,Mojave,NA,,C,3,,I,NA,,NA,,,,,,,6/29/22,SDJ,post,4,220.020,222.280,362.470,804.770,11.710,,average ND's chla value
greenhouse,,64,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,142.080,13.530,321.840,477.450,0.028,,
greenhouse,,64,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,241.160,340.450,607.780,1189.400,2.556,,
greenhouse,,64,CP,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,197.560,387.360,460.050,1044.970,3.004,,
greenhouse,,70,Mojave,NA,,C,1,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,46.730,10.170,294.930,351.830,0.688,,
